OBJECTID,school_id,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC,geometry,District,District_PSA
212,6220,"EMLEN, ELEANOR C. SCHOOL",ELEANOR C. EMLEN SCHOOL,6501 CHEW AVE,19119,(215) 400-3470,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.17814029755441 40.0541028792764),14,141
213,4030,ENGINEERING & SCIENCE HIGH,HIGH SCHOOL OF ENGINEERING AND SCIENCE,1600 W NORRIS ST,19121,(215) 400-7380,MIDDLE/HIGH,12-Jul,1,DISTRICT,POINT (-75.1612778907416 39.9834180895182),22,221
214,8380,"FARRELL, LOUIS H. SCHOOL",LOUIS H. FARRELL SCHOOL,8300 CASTOR AVE,19152,(215) 400-3230,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.05233798398859 40.0664861382927),7,71
215,2190,"FELL, D. NEWLIN SCHOOL",D. NEWLIN FELL SCHOOL,900 W OREGON AVE,19148,(215) 400-8260,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1631073586769 39.9154511155284),3,33
216,7120,"FELS, SAMUEL HIGH SCHOOL",SAMUEL FELS HIGH SCHOOL,5500 LANGDON ST,19124,(215) 400-7100,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.0924110678754 40.0362212632326),2,21
217,7500,FELTONVILLE ARTS & SCIENCES,FELTONVILLE SCHOOL OF ARTS AND SCIENCES,210 E COURTLAND ST,19120,(215) 400-3810,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-75.12167040871179 40.0193361685736),25,252
218,7310,FELTONVILLE INTERMEDIATE,FELTONVILLE INTERMEDIATE SCHOOL,238 E WYOMING AVE,19120,(215) 400-3730,ELEMENTARY SCHOOL,5-Mar,1,DISTRICT,POINT (-75.1210256402893 40.0203400203249),25,252
219,7270,"FINLETTER, THOMAS K. SCHOOL",THOMAS K. FINLETTER SCHOOL,6100 N FRONT ST,19120,(215) 400-3750,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1191760006802 40.0436080000095),35,351
220,6230,FITLER ACADEMICS PLUS,FITLER ACADEMICS PLUS SCHOOL,140 W SEYMOUR ST,19144,(215) 400-3610,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.16633732966871 40.026100520364),39,391
221,8390,"FITZPATRICK, A. L. SCHOOL",A.L. FITZPATRICK SCHOOL,11061 KNIGHTS RD,19154,(215) 400-3060,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-74.9765290003166 40.0803060002588),8,83
231,8040,ARTS ACADEMY AT BENJAMIN RUSH,ARTS ACADEMY AT BENJAMIN RUSH,11081 KNIGHTS RD,19154,(215) 400-3030,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-74.9740810656763 40.0826490029494),8,83
251,2210,BACHE-MARTIN SCHOOL,BACHE-MARTIN SCHOOL,2201 BROWN ST,19130,(215) 400-7550,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1740771312509 39.9700252874485),9,91
252,8160,BALDI MIDDLE SCHOOL,BALDI SCHOOL,8801 VERREE RD,19115,(215) 400-3090,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-75.0526308449662 40.0920060281079),7,72
253,1200,"BARRY, JOHN ELEMENTARY SCHOOL",JOHN BARRY SCHOOL,5900 RACE ST,19139,(215) 400-7640,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2386037605873 39.9643749397617),19,192
254,7200,BARTON SCHOOL,CLARA BARTON SCHOOL,4600 ROSEHILL ST,19120,(215) 400-3720,ELEMENTARY SCHOOL,K-2,1,DISTRICT,POINT (-75.1195495940986 40.020373609694),25,252
255,1010,"BARTRAM, JOHN HIGH SCHOOL",JOHN BARTRAM HIGH SCHOOL,2401 S 67TH ST,19142,(215) 400-8100,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2338615779729 39.9216831254994),12,123
256,2720,VARE-WASHINGTON ELEMENTARY,VARE-WASHINGTON SCHOOL,1198 S 5TH ST,19147,(215) 400-8120,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1527722544854 39.9339414927683),3,32
257,5180,VAUX HIGH SCHOOL,VAUX HIGH SCHOOL: A BIG PICTURE,2300 W MASTER ST,19121,(267) 507-9690,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.17418599967669 39.9763249996727),22,224
258,3335,PEOPLE FOR PEOPLE,PEOPLE FOR PEOPLE CHARTER SCHOOL,800 N BROAD ST,19130,(215) 763-7060,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER,POINT (-75.1606747693304 39.9681014097758),9,91
259,2530,PHILADELPHIA JUVENILE JUSTICE SERVICES CENTER,PHILADELPHIA JUVENILE JUSTICE SERVICES CENTER SCHOOL,91 N 48TH ST,19139,(215) 683-3495,ELEMENTARY/MIDDLE/HIGH,K-12,1,DISTRICT,POINT (-75.2157262402775 39.9613656502929),16,162
260,8470,PHILADELPHIA LEARNING ACADEMY-NORTH,PHILADELPHIA LEARNING ACADEMY NORTH,4224 N FRONT ST,19140,(215) 400-9050,MIDDLE/HIGH,12-Aug,1,DISTRICT,POINT (-75.1262885746348 40.0150452861232),25,252
261,8460,PHILADELPHIA LEARNING ACADEMY-WEST,PHILADELPHIA LEARNING ACADEMY WEST,4300 WESTMINSTER AVE,19104,(215) 400-9080,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2104489222594 39.9694577494363),16,162
262,3336,PHILADELPHIA PERFORMING ARTS-BROAD ST,PHILADELPHIA PERFORMING ARTS: A STRING THEORY CHARTER SCHOOL,2600 S BROAD ST,19145,(215) 551-4000,ELEMENTARY SCHOOL,5-Feb,2,CHARTER,POINT (-75.1715085546065 39.917825753986),1,11
263,3322,PHILADELPHIA ACADEMY,PHILADELPHIA ACADEMY CHARTER SCHOOL,11000 ROOSEVELT BLVD,19116,(215) 676-8320,ELEMENTARY/MIDDLE/HIGH,K-8,2,CHARTER,POINT (-75.0097862121799 40.1037042452735),7,73
264,3422,PHILADELPHIA CHARTER FOR ARTS,THE PHILADELPHIA CHARTER SCHOOL FOR ARTS AND SCIENCES,1197 HAWORTH ST,19124,(215) 537-2520,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.0865964137304 40.0248040558452),15,151
265,3358,PHILADELPHIA ELECTRICAL AND TECHNOLOGY CHARTER SCHOOL,PHILADELPHIA ELECTRICAL AND TECHNOLOGY CHARTER SCHOOL,1709 BENJAMIN FRANKLIN PKWY,19103,(267) 514-1823,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.168219178783 39.9565048809966),9,93
266,3378,PHILADELPHIA MONTESSORI,PHILADELPHIA MONTESSORI CHARTER SCHOOL,2227 ISLAND AVE,19142,(215) 365-4011,ELEMENTARY SCHOOL,K-6,2,CHARTER,POINT (-75.24515327067741 39.9165643695892),12,122
267,8450,YES PHILLY,YES PHILLY,2709 N BROAD ST,19132,(215) 769-0340,HIGH SCHOOL,12-Sep,1,CONTRACTED,POINT (-75.15407588383511 39.9944187396555),25,254
268,3329,YOUNG SCHOLARS CHARTER SCHOOL,YOUNG SCHOLARS CHARTER SCHOOL,900 N MARSHALL ST,19123,(215) 232-9727,MIDDLE SCHOOL,8-Jun,2,CHARTER,POINT (-75.1481782936474 39.9676992367932),26,262
269,3304,YOUTHBUILD PHILADELPHIA CHARTER,YOUTHBUILD PHILADELPHIA CHARTER SCHOOL,1231 N BROAD ST - 3RD FLR,19122,(215) 627-8671,HIGH SCHOOL,12,2,CHARTER,POINT (-75.15863286979661 39.9729064903214),22,223
270,6400,WIDENER MEMORIAL SCHOOL,WIDENER MEMORIAL SCHOOL,1450 W OLNEY AVE,19141,(215) 400-3710,ELEMENTARY/MIDDLE/HIGH,K-12,1,DISTRICT,POINT (-75.1465980005368 40.0367059998385),35,353
271,5440,"WILLARD, FRANCES E. SCHOOL",FRANCES E. WILLARD SCHOOL,1930 E ELKHART ST,19134,(215) 400-7180,ELEMENTARY SCHOOL,K-4,1,DISTRICT,POINT (-75.1162218020759 39.993351470515),24,242
272,8120,CASTOR GARDENS MIDDLE SCHOOL,CASTOR GARDENS MIDDLE SCHOOL,1800 COTTMAN AVE,19111,(215) 400-3190,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-75.06908599949389 40.052367000051),2,23
273,4470,"WRIGHT, RICHARD R. SCHOOL",RICHARD R. WRIGHT SCHOOL,2201 N 28TH ST,19132,(215) 400-7030,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.17749652266239 39.9902712210442),22,222
274,7460,"ZIEGLER, WILLIAM H. SCHOOL",WILLIAM H. ZIEGLER SCHOOL,5935 SAUL ST,19149,(215) 400-3260,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.0753711743273 40.030112192689),15,152
275,3290,EXCEL ACADEMY SOUTH,EXCEL ACADEMY SOUTH,4641 ROOSEVELT BLVD,19124,(215) 904-6254,HIGH SCHOOL,12-Sep,1,CONTRACTED,POINT (-75.10292761371301 40.0263592872659),15,151
276,3409,MASTERY CHARTER @ SMEDLEY,MASTERY CHARTER SCHOOL AT SMEDLEY,1790 BRIDGE ST,19124,(215) 537-2523,ELEMENTARY SCHOOL,K-6,2,CHARTER,POINT (-75.07389199976809 40.0197859999612),15,151
277,3427,MASTERY CHARTER @ WISTER,MASTERY CHARTER SCHOOL AT WISTER,67 E BRINGHURST ST,19144,(215) 951-4003,ELEMENTARY SCHOOL,K-5,2,CHARTER,POINT (-75.1667263269867 40.0332039453118),14,142
278,3361,MASTERY CHARTER-LENFEST CAMPUS,MASTERY CHARTER SCHOOL AT LENFEST,35 S 4TH ST,19106,(215) 922-1902,MIDDLE/HIGH,12-Jul,2,CHARTER,POINT (-75.1470141919082 39.9495269814117),9,95
279,3383,MASTERY CHARTER-SHOEMAKER,MASTERY CHARTER SCHOOL AT SHOEMAKER,5301 MEDIA ST,19131,(267) 296-7111,MIDDLE/HIGH,12-Jul,2,CHARTER,POINT (-75.2284370007218 39.9757989997203),19,192
280,3385,MASTERY CHARTER-THOMAS CAMPUS,MASTERY CHARTER SCHOOL AT THOMAS CAMPUS,927 JOHNSTON ST,19148,(267) 236-0036,MIDDLE/HIGH,12-Jul,2,CHARTER,POINT (-75.1636467513393 39.9146709594964),3,33
281,3321,"MATH, CIVICS AND SCIENCES","MATH, CIVICS AND SCIENCES CHARTER SCHOOL",447 N BROAD ST,19123,(215) 923-4880,ELEMENTARY/MIDDLE/HIGH,12-Jan,2,CHARTER,POINT (-75.16095552973491 39.9611519963734),9,92
282,3437,KIPP NORTH PHILADELPHIA CHARTER SCHOOL,KIPP NORTH PHILADELPHIA CHARTER SCHOOL,2539 N 16TH ST,19132,(267) 758-2509,ELEMENTARY SCHOOL,K-5,2,CHARTER,POINT (-75.1580390006084 39.9920380002474),22,221
283,3379,AD PRIMA CHARTER SCHOOL,AD PRIMA CHARTER SCHOOL,1922 N 63RD ST,19151,(267) 403-2672,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.2477179326887 39.9846141197281),19,191
284,3315,ALLIANCE FOR PROGRESS CHARTER,ALLIANCE FOR PROGRESS CHARTER SCHOOL,"1722 CECIL B MOORE AVE
",19121,(215) 232-4892,ELEMENTARY SCHOOL,K-5,2,CHARTER,POINT (-75.1639464266362 39.9792849999811),22,223
285,3395,ANTONIA PANTOJA CHARTER SCHOOL,ANTONIA PANTOJA CHARTER SCHOOL,4101 N AMERICAN ST,19140,(215) 329-2733,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.1308530758714 40.0131215386459),25,252
286,3406,JOHN B STETSON MIDDLE SCHOOL,JOHN B STETSON MIDDLE SCHOOL,3200 B ST,19134,(215) 400-9150,MIDDLE SCHOOL,8-May,1,DISTRICT,POINT (-75.1256444420555 39.9987298917836),25,253
287,6470,"KELLY, JOHN B. SCHOOL",JOHN B. KELLY SCHOOL,5116 PULASKI AVE,19144,(215) 400-3580,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.17242149354981 40.0251082134133),39,391
288,4360,KENDERTON ELEMENTARY,KENDERTON ELEMENTARY SCHOOL,1500 W ONTARIO ST,19140,(215) 400-8340,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.15406346981079 40.005112619077),39,392
289,5520,KENSINGTON CAPA,KENSINGTON HIGH SCHOOL FOR CREATIVE AND PERFORMING ARTS,1901 N FRONT ST,19122,(215) 400-7400,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.13340620720351 39.9773057133073),26,263
290,5550,KENSINGTON HEALTH SCIENCES,KENSINGTON HEALTH SCIENCES ACADEMY,2463 EMERALD ST,19125,(215) 400-3600,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.12851042257179 39.9847326185923),26,263
291,5700,KENSINGTON HIGH SCHOOL,KENSINGTON HIGH SCHOOL,2051 E CUMBERLAND ST,19125,(215) 400-7700,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.12636908375561 39.9844316050371),26,263
292,2540,"KEY, FRANCIS SCOTT SCHOOL",FRANCIS S. KEY SCHOOL,2230 S 8TH ST,19148,(215) 400-8250,ELEMENTARY SCHOOL,K-6,1,DISTRICT,POINT (-75.1605097359252 39.9208831797287),3,33
293,6060,"KING, MARTIN LUTHER HIGH SCHOOL",MARTIN LUTHER KING HIGH SCHOOL,6100 STENTON AVE,19138,(215) 400-3500,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.16167785536361 40.0564620249605),14,141
294,2580,"KIRKBRIDE, ELIZA B. SCHOOL",ELIZA B. KIRKBRIDE SCHOOL,1501 S 7TH ST,19147,(215) 400-7980,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.15646599952041 39.9300199997864),3,33
295,4370,OVERBROOK ELEMENTARY SCHOOL,OVERBROOK ELEMENTARY SCHOOL,2032 N 62ND ST,19151,(215) 400-7520,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2456141086698 39.9819822023219),19,191
296,4020,OVERBROOK HIGH SCHOOL,OVERBROOK HIGH SCHOOL,5898 LANCASTER AVE,19131,(215) 400-7300,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2385560002224 39.9810280001367),19,193
297,5080,PARKWAY CENTER CITY MIDDLE COLLEGE HIGH SCHOOL,PARKWAY CENTER CITY MIDDLE COLLEGE HIGH SCHOOL,540 N 13TH ST,19123,(215) 400-7620,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1592864998634 39.9630050104016),9,92
298,5090,PARKWAY WEST HIGH SCHOOL,PARKWAY WEST HIGH SCHOOL,4725 FAIRMOUNT AVE,19139,(215) 400-7710,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2158085547254 39.9646026424632),16,162
299,5070,PARKWAY-NORTHWEST HIGH SCHOOL,PARKWAY NORTHWEST HIGH SCHOOL,6200 CRITTENDEN ST,19138,(215) 400-3390,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1651703669058 40.0564530955096),14,141
300,1400,"PATTERSON, JOHN M. SCHOOL",JOHN M. PATTERSON SCHOOL,7000 BUIST AVE,19142,(215) 400-8190,ELEMENTARY SCHOOL,K-4,1,DISTRICT,POINT (-75.2367619993278 39.9160950003144),12,121
301,4380,"PEIRCE, THOMAS M. SCHOOL",THOMAS M. PEIRCE SCHOOL,2300 W CAMBRIA ST,19132,(215) 400-7020,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.16831705434809 39.9986220304899),39,393
302,1280,PENN ALEXANDER SCHOOL,SADIE ALEXANDER SCHOOL,4209 SPRUCE ST,19104,(215) 400-7760,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2081869999629 39.9530989999409),18,183
303,5160,PENN TREATY HIGH SCHOOL,PENN TREATY HIGH SCHOOL,600 E THOMPSON ST,19125,(215) 400-3800,MIDDLE/HIGH,12-Jun,1,DISTRICT,POINT (-75.1271550438141 39.9727083207381),26,263
304,6340,"PENNELL, JOSEPH ELEMENTARY",JOSEPH PENNELL SCHOOL,1800 NEDRO AVE,19141,(215) 400-3680,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.1507814774704 40.0433940035014),35,353
305,6350,"PENNYPACKER, SAMUEL SCHOOL",SAMUEL PENNYPACKER SCHOOL,1858 E WASHINGTON LN,19138,(215) 400-3510,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1589464905624 40.0652550495601),14,141
306,1440,PENROSE SCHOOL,PENROSE SCHOOL,2515 S 78TH ST,19153,(215) 400-8310,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.2476230902229 39.9078123231605),12,121
307,5050,PHILADELPHIA MILITARY ACADEMY,PHILADELPHIA MILITARY ACADEMY,2118 N 13TH ST,19122,(215) 400-7420,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1544359419315 39.9854080807839),22,221
312,7350,"LOWELL, JAMES R. SCHOOL",JAMES R. LOWELL SCHOOL,450 W NEDRO AVE,19120,(215) 400-3740,ELEMENTARY SCHOOL,K-4,1,DISTRICT,POINT (-75.1288900618717 40.0404986265546),35,351
313,5340,"LUDLOW, JAMES R. SCHOOL",JAMES R. LUDLOW SCHOOL,550 W MASTER ST,19122,(215) 400-7430,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.14587410204069 39.9725784370524),26,262
314,7360,"MARSHALL, JOHN SCHOOL",JOHN MARSHALL SCHOOL,4500 GRISCOM ST,19124,(215) 400-3950,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.08749115987629 40.0146703147194),15,151
315,5500,"MARSHALL, THURGOOD SCHOOL",THURGOOD MARSHALL SCHOOL,5120 N 6TH ST,19120,(215) 400-3770,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1345624646199 40.0301801617259),35,352
316,1030,HIGH SCHOOL OF THE FUTURE,HIGH SCHOOL OF THE FUTURE,4021 PARKSIDE AVE,19104,(215) 400-7790,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2036036988725 39.9752547638908),16,161
317,6460,HILL-FREEDMAN WORLD ACADEMY,HILL-FREEDMAN WORLD ACADEMY,1100 E MT PLEASANT AVE,19150,(215) 400-3530,MIDDLE/HIGH,12-Jun,1,DISTRICT,POINT (-75.17517437563851 40.071214298362),14,144
318,8270,"HOLME, THOMAS SCHOOL",THOMAS HOLME SCHOOL,9125 ACADEMY RD,19114,(215) 400-3130,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.0091080508417 40.0549887736766),8,82
319,7300,"HOPKINSON, FRANCIS SCHOOL",FRANCIS HOPKINSON SCHOOL,4001 L ST,19124,(215) 400-3970,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1022568901264 40.0084131233398),24,241
320,6260,"HOUSTON, HENRY H. SCHOOL",HENRY H. HOUSTON SCHOOL,7300 RURAL LN,19119,(215) 400-3490,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.194819995356 40.0591252651313),14,144
321,7320,"HOWE, JULIA WARD SCHOOL",JULIA W. HOWE SCHOOL,5800 N 13TH ST,19141,(215) 400-3650,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.1422093713412 40.0413185655449),35,351
322,5330,"HUNTER, WILLIAM H. SCHOOL",WILLIAM H. HUNTER SCHOOL,2400 N FRONT ST,19133,(215) 400-7110,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1321278870912 39.9874083788568),26,261
323,2510,"COPPIN, FANNY JACKSON SCHOOL
",FANNY JACKSON COPPIN SCHOOL,1213 S 12TH ST,19147,(215) 400-7970,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1634809995532 39.9346230003901),3,33
324,6270,JENKS ACADEMY ARTS & SCIENCES,JENKS ACADEMY FOR ARTS AND SCIENCES,8301 GERMANTOWN AVE,19118,(215) 400-3360,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.20336828536411 40.0747980046461),14,144
325,2520,"JENKS, ABRAM SCHOOL",ABRAM S. JENKS SCHOOL,2501 S 13TH ST,19148,(215) 400-8240,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.1684423956487 39.918896183836),3,33
326,7150,JUNIATA PARK ACADEMY,JUNIATA PARK ACADEMY,801 E HUNTING PARK AVE,19124,(215) 400-7010,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1111912204608 40.0123816973542),24,241
327,5480,"KEARNY, GEN. PHILIP SCHOOL",GENERAL PHILIP KEARNY SCHOOL,601 FAIRMOUNT AVE,19123,(215) 400-7590,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1481293493631 39.9638575296874),9,92
328,4560,"KELLEY, WILLIAM D. SCHOOL",WILLIAM D. KELLEY SCHOOL,1601 N 28TH ST,19121,(215) 400-7370,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.18032688946241 39.9803917298931),22,224
329,8250,"FORREST, EDWIN SCHOOL",EDWIN FORREST SCHOOL,7300 COTTAGE ST,19136,(215) 400-3330,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.0360212258082 40.0345482370967),15,153
330,8260,FOX CHASE SCHOOL,FOX CHASE SCHOOL,500 RHAWN ST,19111,(215) 400-3170,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.08079432150561 40.0748566048441),2,23
331,5390,POTTER-THOMAS SCHOOL,POTTER-THOMAS SCHOOL,3001 N 6TH ST,19133,(215) 400-7120,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1407362876249 39.9971779155139),25,254
332,3404,TACONY ACADEMY CHARTER SCHOOL,TACONY ACADEMY CHARTER SCHOOL (HIGH SCHOOL),6201 KEYSTONE ST,19135,(215) 515-5900,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.0518885779514 40.0170245218547),15,152
333,7130,"WAGNER, GEN. LOUIS MIDDLE SCH.",GENERAL LOUIS WAGNER SCHOOL,1701 CHELTEN AVE,19126,(215) 400-3560,MIDDLE SCHOOL,8-Jun,1,DISTRICT,POINT (-75.1476796206116 40.0517474803904),35,353
334,2490,"WARING, LAURA W. SCHOOL",LAURA W. WARING SCHOOL,1801 GREEN ST,19130,(215) 400-7560,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.16762638668391 39.964900259644),9,91
335,8030,"WASHINGTON, GEORGE HIGH SCHOOL",GEORGE WASHINGTON HIGH SCHOOL,10175 BUSTLETON AVE,19116,(215) 400-3100,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.0264438820433 40.1061889021234),7,73
336,7370,"WASHINGTON, GROVER JR. MIDDLE","GROVER WASHINGTON, JR. SCHOOL",201 E OLNEY AVE,19120,(215) 400-3820,MIDDLE SCHOOL,8-May,1,DISTRICT,POINT (-75.1179690005233 40.0354790003559),35,351
337,1420,"WASHINGTON, MARTHA SCHOOL",MARTHA WASHINGTON SCHOOL,766 N 44TH ST,19104,(215) 400-7770,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.21126539186621 39.9662168226181),16,162
338,5590,"WEBSTER, JOHN H. SCHOOL",JOHN H. WEBSTER SCHOOL,3400 FRANKFORD AVE,19134,(215) 400-7170,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.105501848456 39.9961930431299),24,241
339,5420,"WELSH, JOHN SCHOOL",JOHN WELSH SCHOOL,2331 N 4TH ST,19133,(215) 400-7130,ELEMENTARY/MIDDLE,K-8,1,DISTRICT,POINT (-75.1393219482426 39.9865005115558),26,261
340,1020,WEST PHILADELPHIA HIGH SCHOOL,WEST PHILADELPHIA HIGH SCHOOL,4901 CHESTNUT ST,19139,(215) 400-7900,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.2196540004072 39.9581100002233),18,182
341,3328,"MATH, SCIENCE AND TECHNOLOGY","MATHEMATICS, SCIENCE, AND TECHNOLOGY COMMUNITY CHARTER SCHOOL (MAST)",1800 BYBERRY RD,19116,(267) 348-1100,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER,POINT (-75.00609520971901 40.1136478425272),7,73
342,3423,MEMPHIS ST. CHARTER @ JP JONES,MEMPHIS STREET ACADEMY CHARTER SCHOOL AT J.P. JONES,2950 MEMPHIS ST,19134,(215) 291-4709,MIDDLE SCHOOL,8-May,2,CHARTER,POINT (-75.11288323787269 39.9861681881833),24,243
343,3312,MULTI-CULTURAL ACADEMY,MULTICULTURAL ACADEMY CHARTER SCHOOL,3821 N BROAD ST,19140,(215) 457-6666,HIGH SCHOOL,12-Sep,2,CHARTER,POINT (-75.1503548576602 40.0114244169392),25,251
344,3334,NEW FOUNDATIONS CHARTER SCHOOL,NEW FOUNDATIONS CHARTER SCHOOL,8001 TORRESDALE AVE,19136,(215) 624-8100,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.0241869994173 40.0350700003237),8,81
345,3850,NORTHEAST HIGH SCHOOL EOP,NORTHEAST HIGH SCHOOL EOP,1601 COTTMAN AVE,19111,(215) 400-3200,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.07107786726409 40.0558769929072),2,23
346,3386,NORTHWOOD CHARTER SCHOOL,NORTHWOOD ACADEMY CHARTER SCHOOL,4621 CASTOR AVE,19124,(215) 289-5606,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.09472677694551 40.020359992596),15,151
347,8070,OIC CADI,OIC CADI,444 N 3RD ST,19123,(215) 567-2410,HIGH SCHOOL,12-Sep,1,CONTRACTED,POINT (-75.1450336837808 39.9583620607105),9,92
348,3408,MASTERY CHARTER @ MANN,MASTERY CHARTER SCHOOL AT MANN,5376 W BERKS ST,19131,(215) 581-5616,ELEMENTARY SCHOOL,K-6,2,CHARTER,POINT (-75.2312923026131 39.9856077131825),19,193
349,3426,MASTERY CHARTER @ PASTORIUS,MASTERY CHARTER SCHOOL AT PASTORIUS,5650 SPRAGUE ST,19138,(215) 951-5689,ELEMENTARY/MIDDLE,K-8,2,CHARTER,POINT (-75.16142399940981 40.0482079997674),14,141
350,3393,MASTERY CHARTER @ PICKETT,MASTERY CHARTER SCHOOL AT PICKETT,5700 WAYNE AVE,19144,(215) 866-9000,MIDDLE/HIGH,12-Jun,2,CHARTER,POINT (-75.18070872980159 40.0321362513943),39,391
351,1390,"POWEL, SAMUEL SCHOOL",SAMUEL POWEL SCHOOL,3610 WARREN ST,19104,(215) 400-7740,ELEMENTARY SCHOOL,K-4,1,DISTRICT,POINT (-75.1946950301183 39.9579153255438),16,161
352,7490,PRINCE HALL SCHOOL,PRINCE HALL SCHOOL,6101 N GRATZ ST,19141,(215) 400-3690,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.1495605206067 40.0477074202454),35,353
353,6090,RANDOLPH TECHNICAL HIGH SCHOOL,A. PHILIP RANDOLPH CAREER AND TECHNICAL HIGH SCHOOL,3101 HENRY AVE,19129,(215) 400-3840,HIGH SCHOOL,12-Sep,1,DISTRICT,POINT (-75.1793048893351 40.0088544929054),39,392
354,8360,RHAWNHURST SCHOOL,RHAWNHURST SCHOOL,7809 CASTOR AVE,19152,(215) 400-3220,ELEMENTARY SCHOOL,K-5,1,DISTRICT,POINT (-75.0580916436749 40.0587010848987),2,23
